Bundle ID,Total Downloads,Version Count,Source Count
utopy-migration,6,1,1
dsre-git-skillset,33,1,1
workflow-nevio,940,20,1
pr-review,244,3,1
foursight-code-assessment,81,2,1
task-driven-agents,90,5,1
agents-md-creator,25,1,1
amadeus-ospo,109,2,1
aude,86,2,1
slidev,94,3,1
rtl-engineering,16,2,1
java-engineering,191,14,1
pr-reviewer-generator,135,6,1
ut-writer,0,1,1
reflex,176,16,1
log-verbosity-reduction,129,9,1
raav-workflow,29,2,1
prompt-builder,6,1,1
skill-evaluation,38,4,1
redteam-agent-fleet,3,1,1
batch-elasticity,8,5,1
etk-workflow,82,1,1
refx-nre-qa-agents,57,11,1
visual-docs,5,3,1
planview,1,1,1
illustrations,14,2,1
travel-companion,4,2,1
stay-in-the-loop,2,2,1
cna-starter-app-bundle,18,2,1
cnadocs,124,5,1
skubedocs,269,7,1
amadeus-microservice-coding-guidebook,259,3,1
archreview,137,4,1
opentelemetry-tracing-toolkit,42,4,1
nevio-solution-architecture-runway,45,14,1
orms-qa-automation-agent,8,1,1
rail-ui-context,8,3,1
rail-obe-context,23,6,1
rail-devopstoolchain-context,2,3,1
airline-solutions-architecture,135,5,1
design-factory,74,4,1
workspace-setup,6,8,1
unit-hld-design,7,8,1
unit-build,4,8,1
solution-hls-design,6,7,1
solution-discover,5,7,1
convert-primitives,5,5,1
air-ai-dlc,5,1,1
specifications-as-code-collection,43,6,1
orms-pipeline-pr,3,1,1
orms-common,0,1,1
orms-investigation-skills,3,2,1
orms-investigator-skills-legacy,1,1,1
uiblueprint-collection,20,1,1
javaswing-angular,11,3,1
migration-planning,50,3,1
design-factory-angular,68,2,1
coach-developers-to-prompt,2,1,1
context-generation-collection,42,1,1
webapp-parity,33,2,1
testing,53,2,1
skill-best-practices,3,2,1
search-and-learn,44,2,1
angular-migration,60,2,1
amadeus-pptx,14,2,1
vscode-project-template-generator,10,1,1
orion-skube-version-upgrade,13,2,1
orion-msvc-component-tests,7,3,1
expert-documentation-analyst,3,1,1
nevio-deployment-automation,23,9,1
nevio-gitops-diagnostics,15,4,1
nevio-renovate-automation,9,2,1
nevio-finops-reporting,4,6,1
emea-digital-services-workflow,1,1,1
aao-ai-common-assets,2,1,1
airops-itedex-ai-assets,6,8,1
asr-full-catalog,0,1,1
ofms-enhanced-code-reviewer,8,3,1
ofms-feature-toggle-cleaner,14,2,1
skills-creator-toolbox,34,7,1
ai-usage-analysis,2,1,1
getting-ready-for-agents,3,2,1
beekeeper-skills,8,4,1
pay-fast-data-agentic-feature-owner,1,3,1
pay-fast-data-agentic-devops,10,3,1
udofm-ai-skills,8,4,1
axiom-prompt-registry,2,2,1
snow-explorer,33,3,1
archify,7,1,1
