Bundle ID,Total Downloads,Version Count,Source Count
dsre-git-skillset,26,1,1
workflow-nevio,867,20,1
pr-review,173,3,1
foursight-code-assessment,45,2,1
task-driven-agents,80,5,1
agents-md-creator,21,1,1
amadeus-ospo,83,2,1
aude,64,2,1
slidev,68,2,1
rtl-engineering,8,1,1
java-engineering,141,14,1
pr-reviewer-generator,116,6,1
skill-evaluation,33,4,1
raav-workflow,12,1,1
log-verbosity-reduction,113,8,1
redteam-agent-fleet,2,1,1
reflex,151,15,1
batch-elasticity,8,5,1
etk-workflow,70,1,1
refx-nre-qa-agents,42,11,1
illustrations,0,2,1
travel-companion,4,2,1
stay-in-the-loop,1,2,1
skubedocs,209,7,1
amadeus-microservice-coding-guidebook,227,3,1
archreview,105,4,1
cnadocs,99,4,1
opentelemetry-tracing-toolkit,28,3,1
nevio-solution-architecture-runway,16,8,1
orms-qa-automation-agent,3,1,1
rail-ui-context,8,3,1
rail-obe-context,11,6,1
rail-devopstoolchain-context,2,3,1
airline-solutions-architecture,110,3,1
design-factory,38,1,1
specifications-as-code-collection,14,5,1
uiblueprint-collection,4,1,1
javaswing-angular,2,2,1
migration-planning,22,3,1
design-factory-angular,20,2,1
coach-developers-to-prompt,1,1,1
context-generation-collection,14,1,1
webapp-parity,15,2,1
testing,14,2,1
skill-best-practices,0,2,1
search-and-learn,15,2,1
angular-migration,22,2,1
amadeus-pptx,6,2,1
vscode-project-template-generator,1,1,1
orion-skube-version-upgrade,3,1,1
expert-documentation-analyst,0,1,1
nevio-gitops-diagnostics,2,3,1
nevio-finops-reporting,0,3,1
nevio-renovate-automation,0,1,1
nevio-deployment-automation,0,1,1
emea-digital-services-workflow,0,1,1
